,day 1,day 2,day 3,day 4,day 5,day 6,day 7
Morning Tutor,Tutor Group 10HWF6,Tutor Group 10HWF6,Tutor Group 10HWF6,Tutor Group 10HWF6,Tutor Group 10HWF6,Tutor Group 10HWF6,Tutor Group 10HWF6
,10HWF6,10HWF6,10HWF6,10HWF6,10HWF6,10HWF6,10HWF6
,JP25,JP25,JP25,JP25,JP25,JP25,JP25
 period 1,,,,9 Technology - Design and Visual Communication,8 Technology,10 Digital Technology,11 Design and Visual Communication 
,,,,9DVC45D,8LJMTEC,10DTG6,11DVC7
,,,,JP25,JP16,JP11,JP25
 period 2,9 Technology - Animation and Motion Graphics,,,9 Technology - Animation and Motion Graphics,9 Technology - Design and Visual Communication,,11 Design and Visual Communication 
,9AMG1C,,,9AMG4C,9DVC45D,,11DVC7
,JP25,,,JP25,JP25,,JP25
 period 3,10 Digital Technology,11 Design and Visual Communication ,9 Technology - Animation and Motion Graphics,,,9 Technology - Animation and Motion Graphics,8 Technology
,10DTG6,11DVC7,9AMG1C,,,9AMG4C,8LJMTEC
,JP11,JP25,JP25,,,JP25,JP16
period 4,9 Technology - Design and Visual Communication,,11 Design and Visual Communication ,9 Technology - Animation and Motion Graphics,,,9 Technology - Animation and Motion Graphics
,9DVC45D,,11DVC7,9AMG1C,,,9AMG4C
,JP25,,JP25,JP25,,,JP25
Period 5,9 Technology - Animation and Motion Graphics,8 Technology,10 Digital Technology,11 Design and Visual Communication ,9 Technology - Animation and Motion Graphics,,
,9AMG4C,8LJMTEC,10DTG6,11DVC7,9AMG1C,,
,JP25,JP16,JP11,JP25,JP25,,
Period 6,,9 Technology - Design and Visual Communication,8 Technology,10 Digital Technology,11 Design and Visual Communication ,,
,,9DVC45D,8LJMTEC,10DTG6,11DVC7,,
,,JP25,JP16,JP11,JP25,,
