,day 1,day 2,day 3,day 4,day 5,day 6,day 7
Morning Tutor,Tutor Group 13GPH4,Tutor Group 13GPH4,Tutor Group 13GPH4,Tutor Group 13GPH4,Tutor Group 13GPH4,Tutor Group 13GPH4,Tutor Group 13GPH4
,13GPH4,13GPH4,13GPH4,13GPH4,13GPH4,13GPH4,13GPH4
,JP25,JP25,JP25,JP25,JP25,JP25,JP25
period 1,13 Building and Construction,13 Building and Construction,13 Prodcut Design ,11 Prodcut Desgin,,10 Prodcut Design ,
,13BUI2,13BUI2,13PRD3,11PRD4,,10PRD6,
,JPC_OUT,JPC_OUT,JP15,JP15,,JP14,
period 2,,13 Building and Construction,13 Prodcut Design ,11 Prodcut Desgin,,,
,,13BUI2,13PRD3,11PRD4,,,
,,JPC_OUT,JP15,JP15,,,
period 3,10 Prodcut Design ,,,13 Building and Construction,13 Prodcut Design ,11 Prodcut Desgin,
,10PRD6,,,13BUI2,13PRD3,11PRD4,
,JP14,,,JPC_OUT,JP15,JP15,
period 4,,,,13 Prodcut Design ,13 Building and Construction,13 Prodcut Design ,11 Prodcut Desgin
,,,,13PRD3,13BUI2,13PRD3,11PRD4
,,,,JP15,JPC_OUT,JP15,JP15
Period 5,11 Prodcut Desgin,,10 Prodcut Design ,,,13 Building and Construction,13 Prodcut Design 
,11PRD4,,10PRD6,,,13BUI2,13PRD3
,JP15,,JP14,,,JPC_OUT,JP15
Period 6,13 Prodcut Design ,11 Prodcut Desgin,,10 Prodcut Design ,,,13 Building and Construction
,13PRD3,11PRD4,,10PRD6,,,13BUI2
,JP15,JP15,,JP14,,,JPC_OUT
