,day 1,day 2,day 3,day 4,day 5,day 6,day 7
Morning Tutor,Tutor Group 10SXI1,Tutor Group 10SXI1,Tutor Group 10SXI1,Tutor Group 10SXI1,Tutor Group 10SXI1,Tutor Group 10SXI1,Tutor Group 10SXI1
,10SXI1,10SXI1,10SXI1,10SXI1,10SXI1,10SXI1,10SXI1
,JP15,JP15,JP15,JP15,JP15,JP15,JP15
period 1,12 Design and Visual Communication ,11 Animation and Motion Graphics ,10 Design and Visual Communiation ,,,,13 Design and Visual Communication 
,12DVC1,11AMG2,10DVC36,,,,13DVC7
,JP24,JPCOM,JP25,,,,JP24
period 2,12 Design and Visual Communication ,11 Animation and Motion Graphics ,,,,10 Design and Visual Communiation ,13 Design and Visual Communication 
,12DVC1,11AMG2,,,,10DVC36,13DVC7
,JP24,JPCOM,,,,JP25,JP24
period 3,,13 Design and Visual Communication ,12 Design and Visual Communication ,11 Animation and Motion Graphics ,,,
,,13DVC7,12DVC1,11AMG2,,,
,,JP24,JP24,JPCOM,,,
period 4,,10 Design and Visual Communiation ,13 Design and Visual Communication ,12 Design and Visual Communication ,11 Animation and Motion Graphics ,,
,,10DVC36,13DVC7,12DVC1,11AMG2,,
,,JP25,JP24,JP24,JPCOM,,
Period 5,,,,13 Design and Visual Communication ,12 Design and Visual Communication ,11 Animation and Motion Graphics ,
,,,,13DVC7,12DVC1,11AMG2,
,,,,JP24,JP24,JPCOM,
Period 6,10 Design and Visual Communiation ,,,,13 Design and Visual Communication ,12 Design and Visual Communication ,11 Animation and Motion Graphics 
,10DVC36,,,,13DVC7,12DVC1,11AMG2
,JP25,,,,JP24,JP24,JPCOM
