,day 1,day 2,day 3,day 4,day 5,day 6,day 7
Morning Tutor,Tutor Group 11MLS5,Tutor Group 11MLS5,Tutor Group 11MLS5,Tutor Group 11MLS5,Tutor Group 11MLS5,Tutor Group 11MLS5,Tutor Group 11MLS5
,11MLS5,11MLS5,11MLS5,11MLS5,11MLS5,11MLS5,11MLS5
,JPCOM,JPCOM,JPCOM,JPCOM,JPCOM,JPCOM,JPCOM
period 1,,,12 Product Design ,10 Product Design ,,,13 Product Design 
,,,12PRD3,10PRD4,,,13PRD7
,,,JP14,JP14,,,JP15
period 2,13 Product Design ,,12 Product Design ,10 Product Design ,,12 Building and Construction,13 Product Design 
,13PRD7,,12PRD3,10PRD4,,12BUI6,13PRD7
,JP15,,JP14,JP14,,JP15,JP15
period 3,12 Building and Construction,13 Product Design ,,,12 Product Design ,,
,12BUI6,13PRD7,,,12PRD3,,
,JP15,JP15,,,JP14,,
period 4,,12 Building and Construction,13 Product Design ,,,12 Product Design ,10 Product Design 
,,12BUI6,13PRD7,,,12PRD3,10PRD4
,,JP15,JP15,,,JP14,JP14
Period 5,,,12 Building and Construction,13 Product Design ,,,12 Product Design 
,,,12BUI6,13PRD7,,,12PRD3
,,,JP15,JP15,,,JP14
Period 6,12 Product Design ,10 Product Design ,,,13 Product Design ,,
,12PRD3,10PRD4,,,13PRD7,,
,JP14,JP14,,,JP15,,
