start_date,start_time,finish_date,finish_time,all_day,name,detail,location,event_type,publish_date,attendance
10/03/2025,,10/03/2025,,1,"SKC: Day 5",,,11,,0
11/03/2025,,11/03/2025,,1,"SKC: Day 6",,,11,,0
12/03/2025,,12/03/2025,,1,"SKC: Day 7",,,11,,0
13/03/2025,,13/03/2025,,1,"SKC: Day 1",,,11,,0
14/03/2025,,14/03/2025,,1,"SKC: Day 2",,,11,,0
17/03/2025,,17/03/2025,,1,"SKC: Day 3",,,11,,0
18/03/2025,,18/03/2025,,1,"SKC: Day 4",,,11,,0
19/03/2025,,19/03/2025,,1,"SKC: Day 5",,,11,,0
20/03/2025,,20/03/2025,,1,"SKC: Day 6",,,11,,0
21/03/2025,,21/03/2025,,1,"SKC: Day 7",,,11,,0
24/03/2025,,24/03/2025,,1,"SKC: Day 1",,,11,,0
25/03/2025,,25/03/2025,,1,"SKC: Day 2",,,11,,0
26/03/2025,,26/03/2025,,1,"SKC: Day 3",,,11,,0
27/03/2025,,27/03/2025,,1,"SKC: Day 4",,,11,,0
28/03/2025,,28/03/2025,,1,"SKC: Day 5",,,11,,0
31/03/2025,,31/03/2025,,1,"SKC: Day 6",,,11,,0
01/04/2025,,01/04/2025,,1,"SKC: Day 7",,,11,,0
02/04/2025,,02/04/2025,,1,"SKC: Day 1",,,11,,0
03/04/2025,,03/04/2025,,1,"SKC: Day 2",,,11,,0
04/04/2025,,04/04/2025,,1,"SKC: Day 3",,,11,,0
07/04/2025,,07/04/2025,,1,"SKC: Day 4",,,11,,0
08/04/2025,,08/04/2025,,1,"SKC: Day 5",,,11,,0
09/04/2025,,09/04/2025,,1,"SKC: Day 6",,,11,,0
10/04/2025,,10/04/2025,,1,"SKC: Day 7",,,11,,0
11/04/2025,,11/04/2025,,1,"SKC: Day 1",,,11,,0
28/04/2025,,28/04/2025,,1,"SKC: Day 2",,,11,,0
29/04/2025,,29/04/2025,,1,"SKC: Day 3",,,11,,0
30/04/2025,,30/04/2025,,1,"SKC: Day 4",,,11,,0
01/05/2025,,01/05/2025,,1,"SKC: Day 5",,,11,,0
02/05/2025,,02/05/2025,,1,"SKC: Day 6",,,11,,0
05/05/2025,,05/05/2025,,1,"SKC: Day 7",,,11,,0
06/05/2025,,06/05/2025,,1,"SKC: Day 1",,,11,,0
07/05/2025,,07/05/2025,,1,"SKC: Day 2",,,11,,0
08/05/2025,,08/05/2025,,1,"SKC: Day 3",,,11,,0
